2021-12-14 23:12:807 INFO  ManageDrive :34 - Launching chrome browser
2021-12-14 23:12:520 INFO  StartPage :25 - clicking on start now button[[ChromeDriver: chrome on WINDOWS (7f739ce6afdf65f9c3e58015d24441c8)] -> xpath: //a[normalize-space()='Start now']]
2021-12-14 23:12:639 INFO  SelectNationalityPage :30 - Selecting nationality : [[ChromeDriver: chrome on WINDOWS (7f739ce6afdf65f9c3e58015d24441c8)] -> xpath: //select[@id='response']]
2021-12-14 23:12:852 INFO  SelectNationalityPage :39 - selecting continue : [[ChromeDriver: chrome on WINDOWS (7f739ce6afdf65f9c3e58015d24441c8)] -> xpath: //button[@class='gem-c-button govuk-button gem-c-button--bottom-margin']]
2021-12-14 23:12:06 INFO  ReasonForTravelPage :40 - Reason for travel [[[ChromeDriver: chrome on WINDOWS (7f739ce6afdf65f9c3e58015d24441c8)] -> xpath: //div[@class='govuk-radios']//div//label], [[ChromeDriver: chrome on WINDOWS (7f739ce6afdf65f9c3e58015d24441c8)] -> xpath: //div[@class='govuk-radios']//div//label], [[ChromeDriver: chrome on WINDOWS (7f739ce6afdf65f9c3e58015d24441c8)] -> xpath: //div[@class='govuk-radios']//div//label], [[ChromeDriver: chrome on WINDOWS (7f739ce6afdf65f9c3e58015d24441c8)] -> xpath: //div[@class='govuk-radios']//div//label], [[ChromeDriver: chrome on WINDOWS (7f739ce6afdf65f9c3e58015d24441c8)] -> xpath: //div[@class='govuk-radios']//div//label], [[ChromeDriver: chrome on WINDOWS (7f739ce6afdf65f9c3e58015d24441c8)] -> xpath: //div[@class='govuk-radios']//div//label], [[ChromeDriver: chrome on WINDOWS (7f739ce6afdf65f9c3e58015d24441c8)] -> xpath: //div[@class='govuk-radios']//div//label], [[ChromeDriver: chrome on WINDOWS (7f739ce6afdf65f9c3e58015d24441c8)] -> xpath: //div[@class='govuk-radios']//div//label], [[ChromeDriver: chrome on WINDOWS (7f739ce6afdf65f9c3e58015d24441c8)] -> xpath: //div[@class='govuk-radios']//div//label]]
2021-12-14 23:12:366 INFO  ReasonForTravelPage :32 - clicking on continue button [[ChromeDriver: chrome on WINDOWS (7f739ce6afdf65f9c3e58015d24441c8)] -> xpath: //button[@class='gem-c-button govuk-button gem-c-button--bottom-margin']]
2021-12-14 23:12:389 INFO  FamilyImmigrationStatusPage :45 - selecting yes for immigration status of relative : [[ChromeDriver: chrome on WINDOWS (7f739ce6afdf65f9c3e58015d24441c8)] -> xpath: //div[@class='govuk-radios']//div//label[contains(text(),'Yes')]]
2021-12-14 23:12:406 INFO  FamilyImmigrationStatusPage :69 - selecting continue : [[ChromeDriver: chrome on WINDOWS (7f739ce6afdf65f9c3e58015d24441c8)] -> xpath: //button[contains(text(),'Continue')]]
2021-12-15 12:12:65 INFO  ManageDrive :34 - Launching chrome browser
2021-12-15 12:12:363 INFO  StartPage :25 - clicking on start now button[[ChromeDriver: chrome on WINDOWS (eab00213e98184cb071e7cb15fb6a86f)] -> xpath: //a[normalize-space()='Start now']]
2021-12-15 12:12:846 INFO  ManageDrive :34 - Launching chrome browser
